SCW_ID;SCW_VER;SCW_TYPE;RA_X;DEC_X;OBS_ID;OBS_TYPE;START_DATE;END_DATE;PI_NAME;PS;GOOD_SPI;GOOD_PICSIT;GOOD_ISGRI;GOOD_JEMX;GOOD_JEMX1;GOOD_JEMX2;GOOD_OMC;DSIZE;SEARCH_OFFSET_
2,495E+11;1;POINTING;273,916;-25,0516;19200140037;GENERAL;25.04.2022 02:16;25.04.2022 02:49;"PROF.
JOERN
WILMS";PRIVATE;1966;1938;1964;1966;1966;1830;0;86904832;"283.320 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;273,3439;-22,9461;19200140037;GENERAL;25.04.2022 01:41;25.04.2022 02:14;"PROF.
JOERN
WILMS";PRIVATE;1964;1938;1962;1964;1964;1835;0;87494656;"327.695 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;272,78;-20,8353;19200140037;GENERAL;25.04.2022 01:05;25.04.2022 01:38;"PROF.
JOERN
WILMS";PRIVATE;1952;1930;1950;1952;1952;1754;0;87719936;"410.804 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;271,6089;-25,5737;19200140037;GENERAL;25.04.2022 02:52;25.04.2022 03:25;"PROF.
JOERN
WILMS";PRIVATE;1937;1914;1935;1900;1900;1720;0;90353664;"411.349 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;271,0357;-23,4548;19200140037;GENERAL;25.04.2022 03:27;25.04.2022 04:01;"PROF.
JOERN
WILMS";PRIVATE;1956;1930;1954;1934;1934;1694;0;89493504;"444.867 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;270,5139;-21,3384;19200140037;GENERAL;25.04.2022 04:03;25.04.2022 04:36;"PROF.
JOERN
WILMS";PRIVATE;1949;1922;1947;1949;1949;1768;0;88641536;"508.795 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;272,2158;-18,7283;19200140037;GENERAL;25.04.2022 00:30;25.04.2022 01:03;"PROF.
JOERN
WILMS";PRIVATE;1984;1958;1982;1984;1984;1783;0;87793664;"514.345 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;269,2379;-26,0712;19200140037;GENERAL;25.04.2022 08:11;25.04.2022 08:44;"PROF.
JOERN
WILMS";PRIVATE;1947;1921;1945;1947;1947;1947;0;90730496;"542.308 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;268,7444;-23,9486;19200140037;GENERAL;25.04.2022 07:36;25.04.2022 08:09;"PROF.
JOERN
WILMS";PRIVATE;1975;1943;1972;1975;1975;1704;0;88932352;"566.063 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;269,9933;-19,2208;19200140037;GENERAL;25.04.2022 04:38;25.04.2022 05:11;"PROF.
JOERN
WILMS";PRIVATE;1975;1954;1973;1975;1975;1656;0;87265280;"595.275 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;268,2395;-21,8239;19200140037;GENERAL;25.04.2022 07:00;25.04.2022 07:33;"PROF.
JOERN
WILMS";PRIVATE;1979;1935;1977;1980;1980;1848;0;87179264;"618.205 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;267,7329;-19,7001;19200140037;GENERAL;25.04.2022 06:24;25.04.2022 06:58;"PROF.
JOERN
WILMS";PRIVATE;1968;1945;1966;1968;1968;1602;0;86474752;"691.929 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;269,4673;-17,1031;19200140037;GENERAL;25.04.2022 05:13;25.04.2022 05:47;"PROF.
JOERN
WILMS";PRIVATE;1993;1959;1990;1945;1945;1692;0;86073344;"696.222 (279.0753548510008,-24.46080126949722)
"
2,495E+11;1;POINTING;267,2587;-17,5735;19200140037;GENERAL;25.04.2022 05:49;25.04.2022 06:22;"PROF.
JOERN
WILMS";PRIVATE;1998;1958;1995;1950;1950;1950;0;85336064;"779.633 (279.0753548510008,-24.46080126949722)
"
